id,tenant_id,table_id,customer_id,waiter_id,status,total_amount,prep_time_order,created_at,completed_at
1,019abac9-846f-75d0-8dfd-bcf9c9457866,15,,11,Paid,925000,36,2025-03-31 19:02:23.045+00,2025-03-31 19:49:23.045+00
2,019abac9-846f-75d0-8dfd-bcf9c9457866,7,46,9,Paid,1084000,19,2025-11-03 03:03:21.235+00,2025-11-03 04:15:21.235+00
3,019abac9-846f-75d0-8dfd-bcf9c9457866,24,27,9,Served,400000,52,2025-03-29 13:21:57.976+00,2025-03-29 14:39:57.976+00
4,019abac9-846f-75d0-8dfd-bcf9c9457866,22,,3,Pending,580000,19,2025-06-21 18:14:26.196+00,
5,019abac9-846f-75d0-8dfd-bcf9c9457866,19,,9,Served,1165000,33,2025-03-14 16:58:21.615+00,2025-03-14 17:43:21.615+00
6,019abac9-846f-75d0-8dfd-bcf9c9457866,2,,3,Paid,652000,52,2025-10-07 03:43:38.704+00,2025-10-07 05:02:38.704+00
7,019abac9-846f-75d0-8dfd-bcf9c9457866,12,11,4,Completed,670000,57,2025-12-12 12:54:36.993+00,2025-12-12 14:19:36.993+00
8,019abac9-846f-75d0-8dfd-bcf9c9457866,13,6,10,Paid,1025000,60,2025-04-25 01:51:01.825+00,2025-04-25 02:26:01.825+00
9,019abac9-846f-75d0-8dfd-bcf9c9457866,9,25,9,Completed,210000,29,2025-11-23 03:42:46.262+00,2025-11-23 04:55:46.262+00
10,019abac9-846f-75d0-8dfd-bcf9c9457866,24,49,,Unsubmit,568000,28,2025-05-25 02:36:06.898+00,
11,019abac9-846f-75d0-8dfd-bcf9c9457866,20,2,12,Cancelled,1366000,50,2025-03-04 04:29:38.083+00,
12,019abac9-846f-75d0-8dfd-bcf9c9457866,18,,4,Paid,1174000,57,2025-02-25 17:05:31.076+00,2025-02-25 17:26:31.076+00
13,019abac9-846f-75d0-8dfd-bcf9c9457866,11,,7,Paid,60000,21,2025-12-27 00:30:19.143+00,2025-12-27 01:58:19.143+00
14,019abac9-846f-75d0-8dfd-bcf9c9457866,16,43,3,Paid,950000,23,2025-06-25 13:35:44.621+00,2025-06-25 15:05:44.621+00
15,019abac9-846f-75d0-8dfd-bcf9c9457866,8,15,12,Pending,1608000,38,2025-09-06 15:25:19.313+00,
16,019abac9-846f-75d0-8dfd-bcf9c9457866,28,30,3,Served,135000,42,2025-06-11 08:32:07.288+00,2025-06-11 09:11:07.288+00
17,019abac9-846f-75d0-8dfd-bcf9c9457866,9,27,7,Paid,901000,51,2025-09-18 07:12:04.227+00,2025-09-18 08:28:04.227+00
18,019abac9-846f-75d0-8dfd-bcf9c9457866,3,35,7,Served,795000,28,2025-10-16 11:58:52.097+00,2025-10-16 12:51:52.097+00
19,019abac9-846f-75d0-8dfd-bcf9c9457866,23,14,5,Paid,302000,59,2025-03-01 22:03:27.440+00,2025-03-01 23:12:27.440+00
20,019abac9-846f-75d0-8dfd-bcf9c9457866,21,,9,Served,1300000,39,2025-04-27 17:00:37.515+00,2025-04-27 17:22:37.515+00
21,019abac9-846f-75d0-8dfd-bcf9c9457866,17,20,,Unsubmit,1917000,43,2025-05-23 03:33:26.692+00,
22,019abac9-846f-75d0-8dfd-bcf9c9457866,5,14,8,Paid,718000,22,2025-10-03 14:25:03.381+00,2025-10-03 15:51:03.381+00
23,019abac9-846f-75d0-8dfd-bcf9c9457866,22,38,10,Paid,511000,30,2025-10-25 22:44:30.352+00,2025-10-25 23:16:30.352+00
24,019abac9-846f-75d0-8dfd-bcf9c9457866,8,,5,Paid,150000,45,2025-01-26 16:00:00.610+00,2025-01-26 16:24:00.610+00
25,019abac9-846f-75d0-8dfd-bcf9c9457866,11,34,11,Completed,1516000,51,2025-02-27 06:55:21.972+00,2025-02-27 07:15:21.972+00
26,019abac9-846f-75d0-8dfd-bcf9c9457866,28,6,7,Served,708000,42,2025-01-28 10:05:56.857+00,2025-01-28 11:04:56.857+00
27,019abac9-846f-75d0-8dfd-bcf9c9457866,15,21,3,Served,364000,58,2025-06-20 01:43:10.794+00,2025-06-20 02:18:10.794+00
28,019abac9-846f-75d0-8dfd-bcf9c9457866,24,14,11,Paid,1005000,23,2025-08-16 17:56:34.942+00,2025-08-16 18:27:34.942+00
29,019abac9-846f-75d0-8dfd-bcf9c9457866,13,,7,Completed,210000,48,2025-05-15 13:00:09.310+00,2025-05-15 14:02:09.310+00
30,019abac9-846f-75d0-8dfd-bcf9c9457866,23,,12,Cancelled,1615000,28,2025-12-13 18:48:02.098+00,
31,019abac9-846f-75d0-8dfd-bcf9c9457866,12,7,4,Pending,495000,38,2025-02-19 01:17:48.132+00,
32,019abac9-846f-75d0-8dfd-bcf9c9457866,8,21,,Unsubmit,1180000,18,2025-12-31 14:10:40.697+00,
33,019abac9-846f-75d0-8dfd-bcf9c9457866,21,31,6,Served,825000,26,2026-01-16 05:09:52.864+00,2026-01-16 06:27:52.864+00
34,019abac9-846f-75d0-8dfd-bcf9c9457866,2,21,4,Paid,436000,56,2025-04-18 01:43:38.211+00,2025-04-18 02:41:38.211+00
35,019abac9-846f-75d0-8dfd-bcf9c9457866,9,,11,Cancelled,240000,16,2025-03-14 18:33:40.970+00,
36,019abac9-846f-75d0-8dfd-bcf9c9457866,17,37,5,Served,740000,46,2025-07-06 09:01:53.681+00,2025-07-06 10:29:53.681+00
37,019abac9-846f-75d0-8dfd-bcf9c9457866,29,3,5,Completed,2478000,27,2025-08-31 15:18:01.039+00,2025-08-31 16:13:01.039+00
38,019abac9-846f-75d0-8dfd-bcf9c9457866,13,15,6,Served,430000,52,2025-01-29 23:38:04.371+00,2025-01-30 00:07:04.371+00
39,019abac9-846f-75d0-8dfd-bcf9c9457866,2,33,,Unsubmit,1012000,47,2025-09-18 17:38:08.149+00,
40,019abac9-846f-75d0-8dfd-bcf9c9457866,5,17,3,Completed,1592000,29,2025-05-29 01:21:05.893+00,2025-05-29 01:39:05.893+00
41,019abac9-846f-75d0-8dfd-bcf9c9457866,26,,5,Paid,145000,38,2025-03-22 13:21:19.345+00,2025-03-22 13:37:19.345+00
42,019abac9-846f-75d0-8dfd-bcf9c9457866,2,,3,Paid,2125000,33,2025-11-02 06:28:41.645+00,2025-11-02 07:05:41.645+00
43,019abac9-846f-75d0-8dfd-bcf9c9457866,29,30,11,Cancelled,1520000,26,2025-09-24 23:35:43.895+00,
44,019abac9-846f-75d0-8dfd-bcf9c9457866,16,42,3,Approved,1297000,15,2025-12-11 19:22:23.027+00,
45,019abac9-846f-75d0-8dfd-bcf9c9457866,26,,9,Completed,1139000,17,2025-11-04 07:48:32.404+00,2025-11-04 08:06:32.404+00
46,019abac9-846f-75d0-8dfd-bcf9c9457866,2,34,9,Paid,989000,41,2025-09-12 18:45:07.770+00,2025-09-12 19:51:07.770+00
47,019abac9-846f-75d0-8dfd-bcf9c9457866,16,8,5,Completed,840000,26,2025-11-01 17:38:23.879+00,2025-11-01 18:01:23.879+00
48,019abac9-846f-75d0-8dfd-bcf9c9457866,20,45,11,Paid,2185000,46,2025-06-06 22:11:14.010+00,2025-06-06 23:18:14.010+00
49,019abac9-846f-75d0-8dfd-bcf9c9457866,5,34,11,Paid,2033000,47,2025-09-15 20:17:02.443+00,2025-09-15 21:44:02.443+00
50,019abac9-846f-75d0-8dfd-bcf9c9457866,7,30,6,Cancelled,100000,48,2025-09-21 23:43:22.771+00,
51,019abac9-846f-75d0-8dfd-bcf9c9457866,18,40,7,Paid,910000,43,2025-10-12 12:20:19.888+00,2025-10-12 13:05:19.888+00
52,019abac9-846f-75d0-8dfd-bcf9c9457866,11,,6,Paid,450000,46,2025-02-09 04:03:58.726+00,2025-02-09 04:21:58.726+00
53,019abac9-846f-75d0-8dfd-bcf9c9457866,20,,4,Paid,1200000,60,2025-07-31 04:02:06.996+00,2025-07-31 04:50:06.996+00
54,019abac9-846f-75d0-8dfd-bcf9c9457866,6,,3,Served,1130000,58,2025-03-27 20:50:51.440+00,2025-03-27 21:29:51.440+00
55,019abac9-846f-75d0-8dfd-bcf9c9457866,1,,11,Paid,1257000,59,2025-12-07 13:33:45.942+00,2025-12-07 14:42:45.942+00
56,019abac9-846f-75d0-8dfd-bcf9c9457866,21,24,,Unsubmit,1022000,33,2026-01-11 05:14:40.014+00,
57,019abac9-846f-75d0-8dfd-bcf9c9457866,22,30,10,Paid,165000,28,2025-10-20 10:59:56.526+00,2025-10-20 11:49:56.526+00
