id,tenant_id,order_id,amount,subtotal,discount_percent,discount_amount,tax_rate,tax_amount,service_charge_rate,service_charge_amount,payment_method,paid_at
1,019abac9-846f-75d0-8dfd-bcf9c9457866,1,874125,925000,10,92500,5,41625,0,0,E-Wallet,2025-03-31 19:49:23.045+00
2,019abac9-846f-75d0-8dfd-bcf9c9457866,2,967470,1084000,15,162600,5,46070,0,0,E-Wallet,2025-11-03 04:15:21.235+00
3,019abac9-846f-75d0-8dfd-bcf9c9457866,3,420000,400000,0,0,5,20000,0,0,Card,2025-03-29 14:39:57.976+00
4,019abac9-846f-75d0-8dfd-bcf9c9457866,5,1039762.5,1165000,15,174750,5,49512.5,0,0,Card,2025-03-14 17:43:21.615+00
5,019abac9-846f-75d0-8dfd-bcf9c9457866,6,616140,652000,10,65200,5,29340,0,0,E-Wallet,2025-10-07 05:02:38.704+00
6,019abac9-846f-75d0-8dfd-bcf9c9457866,7,633150,670000,10,67000,5,30150,0,0,Card,2025-12-12 14:19:36.993+00
7,019abac9-846f-75d0-8dfd-bcf9c9457866,8,914812.5,1025000,15,153750,5,43562.5,0,0,Card,2025-04-25 02:26:01.825+00
8,019abac9-846f-75d0-8dfd-bcf9c9457866,9,220500,210000,0,0,5,10500,0,0,Card,2025-11-23 04:55:46.262+00
9,019abac9-846f-75d0-8dfd-bcf9c9457866,12,1047795,1174000,15,176100,5,49895,0,0,Card,2025-02-25 17:26:31.076+00
10,019abac9-846f-75d0-8dfd-bcf9c9457866,13,63000,60000,0,0,5,3000,0,0,Cash,2025-12-27 01:58:19.143+00
11,019abac9-846f-75d0-8dfd-bcf9c9457866,14,897750,950000,10,95000,5,42750,0,0,E-Wallet,2025-06-25 15:05:44.621+00
12,019abac9-846f-75d0-8dfd-bcf9c9457866,16,141750,135000,0,0,5,6750,0,0,Card,2025-06-11 09:11:07.288+00
13,019abac9-846f-75d0-8dfd-bcf9c9457866,17,851445,901000,10,90100,5,40545,0,0,Card,2025-09-18 08:28:04.227+00
14,019abac9-846f-75d0-8dfd-bcf9c9457866,18,751275,795000,10,79500,5,35775,0,0,E-Wallet,2025-10-16 12:51:52.097+00
15,019abac9-846f-75d0-8dfd-bcf9c9457866,19,317100,302000,0,0,5,15100,0,0,Cash,2025-03-01 23:12:27.440+00
16,019abac9-846f-75d0-8dfd-bcf9c9457866,20,1160250,1300000,15,195000,5,55250,0,0,Card,2025-04-27 17:22:37.515+00
17,019abac9-846f-75d0-8dfd-bcf9c9457866,22,678510,718000,10,71800,5,32310,0,0,Cash,2025-10-03 15:51:03.381+00
18,019abac9-846f-75d0-8dfd-bcf9c9457866,23,482895,511000,10,51100,5,22995,0,0,E-Wallet,2025-10-25 23:16:30.352+00
19,019abac9-846f-75d0-8dfd-bcf9c9457866,24,157500,150000,0,0,5,7500,0,0,Cash,2025-01-26 16:24:00.610+00
20,019abac9-846f-75d0-8dfd-bcf9c9457866,25,1353030,1516000,15,227400,5,64430,0,0,E-Wallet,2025-02-27 07:15:21.972+00
21,019abac9-846f-75d0-8dfd-bcf9c9457866,26,669060,708000,10,70800,5,31860,0,0,E-Wallet,2025-01-28 11:04:56.857+00
22,019abac9-846f-75d0-8dfd-bcf9c9457866,27,382200,364000,0,0,5,18200,0,0,E-Wallet,2025-06-20 02:18:10.794+00
23,019abac9-846f-75d0-8dfd-bcf9c9457866,28,896962.5,1005000,15,150750,5,42712.5,0,0,E-Wallet,2025-08-16 18:27:34.942+00
24,019abac9-846f-75d0-8dfd-bcf9c9457866,29,220500,210000,0,0,5,10500,0,0,Card,2025-05-15 14:02:09.310+00
25,019abac9-846f-75d0-8dfd-bcf9c9457866,33,779625,825000,10,82500,5,37125,0,0,E-Wallet,2026-01-16 06:27:52.864+00
26,019abac9-846f-75d0-8dfd-bcf9c9457866,34,457800,436000,0,0,5,21800,0,0,Cash,2025-04-18 02:41:38.211+00
27,019abac9-846f-75d0-8dfd-bcf9c9457866,36,699300,740000,10,74000,5,33300,0,0,Card,2025-07-06 10:29:53.681+00
28,019abac9-846f-75d0-8dfd-bcf9c9457866,37,2211615,2478000,15,371700,5,105315,0,0,Card,2025-08-31 16:13:01.039+00
29,019abac9-846f-75d0-8dfd-bcf9c9457866,38,451500,430000,0,0,5,21500,0,0,Cash,2025-01-30 00:07:04.371+00
30,019abac9-846f-75d0-8dfd-bcf9c9457866,40,1420860,1592000,15,238800,5,67660,0,0,E-Wallet,2025-05-29 01:39:05.893+00
31,019abac9-846f-75d0-8dfd-bcf9c9457866,41,152250,145000,0,0,5,7250,0,0,Cash,2025-03-22 13:37:19.345+00
32,019abac9-846f-75d0-8dfd-bcf9c9457866,42,1896562.5,2125000,15,318750,5,90312.5,0,0,E-Wallet,2025-11-02 07:05:41.645+00
33,019abac9-846f-75d0-8dfd-bcf9c9457866,45,1016557.5,1139000,15,170850,5,48407.5,0,0,E-Wallet,2025-11-04 08:06:32.404+00
34,019abac9-846f-75d0-8dfd-bcf9c9457866,46,934605,989000,10,98900,5,44505,0,0,E-Wallet,2025-09-12 19:51:07.770+00
35,019abac9-846f-75d0-8dfd-bcf9c9457866,47,793800,840000,10,84000,5,37800,0,0,Card,2025-11-01 18:01:23.879+00
36,019abac9-846f-75d0-8dfd-bcf9c9457866,48,1950112.5,2185000,15,327750,5,92862.5,0,0,Cash,2025-06-06 23:18:14.010+00
37,019abac9-846f-75d0-8dfd-bcf9c9457866,49,1814452.5,2033000,15,304950,5,86402.5,0,0,E-Wallet,2025-09-15 21:44:02.443+00
38,019abac9-846f-75d0-8dfd-bcf9c9457866,51,859950,910000,10,91000,5,40950,0,0,E-Wallet,2025-10-12 13:05:19.888+00
39,019abac9-846f-75d0-8dfd-bcf9c9457866,52,472500,450000,0,0,5,22500,0,0,Cash,2025-02-09 04:21:58.726+00
40,019abac9-846f-75d0-8dfd-bcf9c9457866,53,1071000,1200000,15,180000,5,51000,0,0,E-Wallet,2025-07-31 04:50:06.996+00
41,019abac9-846f-75d0-8dfd-bcf9c9457866,54,1008525,1130000,15,169500,5,48025,0,0,Cash,2025-03-27 21:29:51.440+00
42,019abac9-846f-75d0-8dfd-bcf9c9457866,55,1121872.5,1257000,15,188550,5,53422.5,0,0,E-Wallet,2025-12-07 14:42:45.942+00
43,019abac9-846f-75d0-8dfd-bcf9c9457866,57,173250,165000,0,0,5,8250,0,0,Cash,2025-10-20 11:49:56.526+00
44,019abac9-846f-75d0-8dfd-bcf9c9457866,58,1071000,1200000,15,180000,5,51000,0,0,Card,2025-05-15 14:26:14.309+00
45,019abac9-846f-75d0-8dfd-bcf9c9457866,61,2155387.5,2415000,15,362250,5,102637.5,0,0,E-Wallet,2025-02-02 18:44:53.009+00
46,019abac9-846f-75d0-8dfd-bcf9c9457866,62,304500,290000,0,0,5,14500,0,0,Cash,2025-01-21 15:21:43.685+00
47,019abac9-846f-75d0-8dfd-bcf9c9457866,63,2159850,2420000,15,363000,5,102850,0,0,E-Wallet,2025-04-10 22:14:00.339+00
48,019abac9-846f-75d0-8dfd-bcf9c9457866,65,94500,90000,0,0,5,4500,0,0,E-Wallet,2025-04-23 20:13:49.331+00
49,019abac9-846f-75d0-8dfd-bcf9c9457866,67,386400,368000,0,0,5,18400,0,0,Card,2025-03-15 23:06:16.544+00
50,019abac9-846f-75d0-8dfd-bcf9c9457866,69,728595,771000,10,77100,5,34695,0,0,Cash,2025-10-01 13:52:52.859+00
51,019abac9-846f-75d0-8dfd-bcf9c9457866,70,78750,75000,0,0,5,3750,0,0,Card,2025-12-05 04:01:34.604+00
52,019abac9-846f-75d0-8dfd-bcf9c9457866,72,853335,903000,10,90300,5,40635,0,0,Card,2025-04-17 07:23:33.762+00
53,019abac9-846f-75d0-8dfd-bcf9c9457866,73,393750,375000,0,0,5,18750,0,0,Card,2025-09-11 23:16:37.645+00
54,019abac9-846f-75d0-8dfd-bcf9c9457866,74,1715385,1922000,15,288300,5,81685,0,0,Cash,2026-01-14 10:26:29.811+00
55,019abac9-846f-75d0-8dfd-bcf9c9457866,75,1655587.5,1855000,15,278250,5,78837.5,0,0,Card,2026-01-05 19:12:04.864+00
56,019abac9-846f-75d0-8dfd-bcf9c9457866,77,231000,220000,0,0,5,11000,0,0,Cash,2025-03-21 11:53:14.824+00
57,019abac9-846f-75d0-8dfd-bcf9c9457866,81,1102237.5,1235000,15,185250,5,52487.5,0,0,E-Wallet,2025-09-30 05:46:04.685+00
58,019abac9-846f-75d0-8dfd-bcf9c9457866,82,713475,755000,10,75500,5,33975,0,0,E-Wallet,2025-07-13 15:25:16.637+00
59,019abac9-846f-75d0-8dfd-bcf9c9457866,83,812700,860000,10,86000,5,38700,0,0,Card,2025-02-04 04:41:01.706+00
60,019abac9-846f-75d0-8dfd-bcf9c9457866,85,78750,75000,0,0,5,3750,0,0,Card,2025-03-29 22:46:58.080+00
61,019abac9-846f-75d0-8dfd-bcf9c9457866,86,598185,633000,10,63300,5,28485,0,0,Card,2026-01-09 07:25:38.743+00
62,019abac9-846f-75d0-8dfd-bcf9c9457866,87,836325,885000,10,88500,5,39825,0,0,Card,2025-10-22 07:29:06.844+00
63,019abac9-846f-75d0-8dfd-bcf9c9457866,88,595350,630000,10,63000,5,28350,0,0,Cash,2025-10-14 06:01:13.081+00
64,019abac9-846f-75d0-8dfd-bcf9c9457866,89,1420860,1592000,15,238800,5,67660,0,0,E-Wallet,2025-12-06 07:15:37.648+00
65,019abac9-846f-75d0-8dfd-bcf9c9457866,90,1439602.5,1613000,15,241950,5,68552.5,0,0,E-Wallet,2025-07-05 19:38:55.496+00
66,019abac9-846f-75d0-8dfd-bcf9c9457866,91,288750,275000,0,0,5,13750,0,0,Card,2025-05-23 06:35:43.820+00
67,019abac9-846f-75d0-8dfd-bcf9c9457866,92,793800,840000,10,84000,5,37800,0,0,Cash,2025-12-02 01:21:18.503+00
68,019abac9-846f-75d0-8dfd-bcf9c9457866,94,620865,657000,10,65700,5,29565,0,0,Card,2025-08-23 13:08:52.901+00
69,019abac9-846f-75d0-8dfd-bcf9c9457866,95,1606500,1800000,15,270000,5,76500,0,0,E-Wallet,2025-12-23 05:18:42.595+00
70,019abac9-846f-75d0-8dfd-bcf9c9457866,97,922320,976000,10,97600,5,43920,0,0,Card,2025-10-02 02:03:01.337+00
71,019abac9-846f-75d0-8dfd-bcf9c9457866,98,204750,195000,0,0,5,9750,0,0,Cash,2025-06-06 03:42:13.606+00
72,019abac9-846f-75d0-8dfd-bcf9c9457866,100,1293232.5,1449000,15,217350,5,61582.5,0,0,Card,2025-02-17 10:18:46.094+00
73,019abac9-846f-75d0-8dfd-bcf9c9457866,101,707805,749000,10,74900,5,33705,0,0,Card,2025-12-05 15:46:53.696+00
74,019abac9-846f-75d0-8dfd-bcf9c9457866,102,614250,650000,10,65000,5,29250,0,0,Cash,2025-02-03 11:15:11.759+00
75,019abac9-846f-75d0-8dfd-bcf9c9457866,104,472500,450000,0,0,5,22500,0,0,Card,2025-05-09 13:22:07.492+00
