id,customer_id,dish_id,order_id,rating,comment,created_at
1,46,23,2,5,Tuyệt vời!,2025-11-03 04:15:21.235+00
2,6,1,8,3,Bình thường,2025-04-25 02:26:01.825+00
3,14,4,28,4,Sẽ quay lại,2025-08-16 18:27:34.942+00
4,16,26,58,5,,2025-05-15 14:26:14.309+00
5,22,5,73,5,Món ăn ngon!,2025-09-11 23:16:37.645+00
6,49,1,89,4,Món ăn ngon!,2025-12-06 07:15:37.648+00
7,5,5,106,5,Tuyệt vời!,2025-10-18 11:28:56.018+00
8,44,1,120,5,,2025-08-19 02:14:15.715+00
9,4,7,135,4,Sẽ quay lại,2025-07-22 22:38:47.450+00
10,49,14,136,5,Sẽ quay lại,2025-12-27 04:59:24.918+00
11,41,16,146,5,Tuyệt vời!,2025-10-26 07:21:15.263+00
12,14,21,175,1,,2025-02-05 20:44:46.749+00
13,32,25,181,2,Cần cải thiện,2025-02-15 19:30:08.166+00
14,21,1,187,2,,2025-06-21 15:40:58.985+00
15,34,4,188,3,Bình thường,2025-04-22 04:13:26.053+00
16,33,19,195,5,Tuyệt vời!,2026-01-03 09:26:13.461+00
17,3,16,207,5,Sẽ quay lại,2025-02-16 22:24:37.893+00
18,1,17,210,3,,2025-11-20 02:03:53.598+00
19,45,30,222,4,Món ăn ngon!,2025-02-02 03:46:00.884+00
20,25,13,231,5,Tuyệt vời!,2025-03-05 23:37:43.340+00
21,24,1,239,5,,2025-03-06 00:15:02.056+00
22,49,30,243,1,Cần cải thiện,2025-09-29 00:00:01.819+00
23,9,15,267,4,,2025-06-27 07:45:23.536+00
24,26,21,268,4,Sẽ quay lại,2025-10-23 05:11:20.653+00
25,30,4,271,5,Món ăn ngon!,2025-09-12 05:08:41.890+00
26,36,4,272,3,Bình thường,2025-04-06 12:52:34.043+00
27,23,6,278,5,Sẽ quay lại,2025-11-24 05:57:12.680+00
28,28,30,280,4,Sẽ quay lại,2025-04-15 08:50:23.703+00
29,37,20,288,3,,2025-11-07 23:42:08.840+00
30,4,3,290,5,Sẽ quay lại,2025-11-18 03:39:26.608+00
31,12,26,301,4,Món ăn ngon!,2025-06-04 15:48:35.008+00
32,41,31,309,5,Tuyệt vời!,2025-03-22 02:37:06.465+00
33,29,22,314,3,Cần cải thiện,2025-06-20 08:12:50.821+00
34,35,5,320,3,Bình thường,2025-05-12 11:27:37.889+00
35,12,3,339,5,Sẽ quay lại,2025-08-21 19:08:26.266+00
36,8,9,356,4,Sẽ quay lại,2025-05-01 01:54:07.213+00
37,26,25,379,5,Tuyệt vời!,2025-07-22 14:16:29.789+00
38,8,25,388,3,,2025-12-30 18:43:42.905+00
39,8,32,393,3,,2025-08-18 07:45:53.215+00
40,37,27,395,4,Món ăn ngon!,2025-04-16 02:56:47.144+00
41,24,10,399,5,Món ăn ngon!,2025-02-07 19:11:17.131+00
42,22,28,404,5,Tuyệt vời!,2025-07-12 07:34:55.427+00
43,41,30,405,4,Tuyệt vời!,2025-05-06 20:13:38.065+00
44,32,20,408,4,Tuyệt vời!,2025-11-03 16:22:51.345+00
45,26,29,409,5,Sẽ quay lại,2025-02-26 19:15:31.633+00
46,3,17,414,2,Cần cải thiện,2025-03-12 13:30:34.976+00
47,1,33,438,3,Bình thường,2025-04-10 04:40:49.203+00
48,38,21,451,4,Sẽ quay lại,2025-03-20 14:47:12.895+00
49,43,12,470,2,,2025-11-08 00:39:03.973+00
50,12,29,475,5,Sẽ quay lại,2026-01-02 15:40:32.607+00
51,30,33,476,5,Sẽ quay lại,2025-04-02 13:35:25.276+00
52,33,24,479,5,Sẽ quay lại,2025-12-17 08:14:15.479+00
53,17,22,494,5,Sẽ quay lại,2025-07-23 08:29:54.174+00
54,24,27,511,4,Món ăn ngon!,2025-11-10 04:06:18.500+00
55,16,4,517,4,,2025-06-06 18:53:14.518+00
56,28,7,527,4,Tuyệt vời!,2025-08-21 19:31:00.747+00
57,8,14,534,3,Bình thường,2025-11-11 14:06:23.374+00
58,13,30,536,5,Tuyệt vời!,2025-09-21 19:43:36.973+00
59,17,23,539,5,Sẽ quay lại,2025-06-04 09:46:49.568+00
60,27,35,540,5,,2025-04-20 02:01:40.717+00
61,36,28,542,5,Tuyệt vời!,2025-09-30 11:44:58.367+00
62,46,9,546,4,,2025-03-07 23:46:26.632+00
63,2,19,557,5,Sẽ quay lại,2025-12-24 04:43:53.963+00
64,26,22,565,5,Món ăn ngon!,2025-03-14 20:24:26.372+00
65,45,28,569,2,,2025-08-13 04:57:30.955+00
66,47,19,575,5,Món ăn ngon!,2025-10-15 08:42:26.709+00
67,13,1,579,1,,2025-02-13 13:48:33.047+00
68,26,1,585,3,Cần cải thiện,2025-08-01 13:46:26.261+00
69,11,29,590,2,Bình thường,2026-01-10 06:03:43.528+00
70,29,20,624,4,,2026-01-15 19:12:41.595+00
71,28,29,659,2,Cần cải thiện,2025-03-26 22:37:08.643+00
72,34,13,672,5,Tuyệt vời!,2025-10-01 00:29:16.405+00
73,47,21,689,5,Sẽ quay lại,2025-08-30 00:44:31.546+00
74,44,16,693,3,Cần cải thiện,2025-07-07 20:49:23.298+00
75,33,31,696,5,Sẽ quay lại,2025-06-14 21:36:18.811+00
76,44,12,702,5,Món ăn ngon!,2025-04-23 23:28:24.475+00
77,25,22,718,5,Tuyệt vời!,2025-09-22 05:51:03.058+00
78,17,4,736,4,Sẽ quay lại,2025-05-18 17:49:12.005+00
79,20,15,741,3,Cần cải thiện,2025-02-06 06:35:43.547+00
80,22,1,752,5,,2025-09-18 07:39:18.291+00
81,10,21,755,5,Tuyệt vời!,2025-03-02 12:00:44.808+00
82,8,23,770,4,Tuyệt vời!,2025-04-17 03:00:17.084+00
83,26,31,791,5,,2025-03-03 12:41:53.450+00
84,22,28,794,4,Sẽ quay lại,2025-02-15 11:12:18.920+00
85,13,31,799,5,,2025-05-21 16:57:24.515+00
86,40,25,800,4,Tuyệt vời!,2025-05-04 02:22:20.820+00
87,5,31,801,4,Món ăn ngon!,2025-06-19 15:20:59.660+00
88,8,1,813,5,Tuyệt vời!,2025-06-12 10:22:42.463+00
89,24,32,825,5,Món ăn ngon!,2026-01-02 18:09:21.279+00
90,50,2,835,3,Cần cải thiện,2025-01-18 06:46:12.619+00
91,48,26,859,5,Sẽ quay lại,2025-12-19 23:39:58.176+00
92,37,12,868,5,Món ăn ngon!,2025-07-13 20:26:02.533+00
93,42,9,876,5,Sẽ quay lại,2025-12-02 21:55:31.027+00
94,26,31,902,2,,2025-04-24 12:48:47.035+00
95,26,15,903,4,Tuyệt vời!,2025-01-20 21:23:31.841+00
96,31,4,924,5,Món ăn ngon!,2025-10-21 18:13:09.533+00
97,4,10,926,3,,2025-01-31 15:02:24.402+00
98,35,2,937,3,Bình thường,2025-05-15 21:22:39.861+00
99,22,9,946,5,Tuyệt vời!,2025-05-16 16:49:58.187+00
100,3,18,949,1,,2025-06-06 08:13:31.104+00
101,36,9,955,5,Sẽ quay lại,2025-07-04 02:35:11.358+00
102,41,19,1012,5,Món ăn ngon!,2025-10-10 00:47:55.954+00
103,25,1,1029,4,Sẽ quay lại,2025-05-21 22:33:01.207+00
104,37,15,1054,2,Cần cải thiện,2025-10-25 06:56:24.955+00
105,30,35,1069,4,Tuyệt vời!,2025-10-09 02:21:32.949+00
106,19,33,1073,4,Sẽ quay lại,2025-06-01 15:45:56.275+00
107,28,2,1087,3,Bình thường,2025-08-01 00:16:43.875+00
108,40,15,1088,5,Sẽ quay lại,2025-10-16 20:07:06.257+00
109,41,24,1106,4,Tuyệt vời!,2025-04-06 16:26:29.548+00
110,39,24,1112,4,Tuyệt vời!,2025-02-24 18:35:32.243+00
